	WTrep1.rna	RIBOTrep2.ribo	WTrep1.ribo	RIBOTrep1.rna	WTrep2.ribo	WTrep2.rna	RIBOTrep1.ribo	RIBOTrep2.rna
10	4621.0	13415.0	12287.0	5409.0	11102.0	4328.0	13637.0	3277.0
11	7509.0	21106.0	22598.0	8257.0	22109.0	7198.0	22821.0	4885.0
12	11400.0	31395.0	34603.0	12485.0	31621.0	11274.0	32383.0	7045.0
13	15857.0	39688.0	42572.0	16079.0	40898.0	15313.0	38283.0	9563.0
14	22520.0	61197.0	67175.0	22904.0	53847.0	19016.0	60249.0	13241.0
15	78936.0	97716.0	197844.0	31534.0	87335.0	26541.0	91890.0	18634.0
16	40396.0	158574.0	167090.0	40232.0	132663.0	35056.0	134170.0	22264.0
17	62306.0	252864.0	266090.0	68729.0	213806.0	53915.0	211372.0	36495.0
18	117747.0	355448.0	374190.0	128484.0	309156.0	93377.0	289258.0	65598.0
19	238272.0	605096.0	615707.0	249466.0	542052.0	178566.0	438037.0	125771.0
20	406084.0	991261.0	983862.0	445931.0	964480.0	316200.0	692538.0	223952.0
21	824162.0	1346949.0	1592593.0	896657.0	1360399.0	530434.0	1007069.0	507459.0
22	1903866.0	1407359.0	2039528.0	1784226.0	1494774.0	1197414.0	1266306.0	1259682.0
23	2547714.0	1645997.0	2783020.0	2515974.0	2004169.0	2067010.0	1759804.0	1752126.0
24	2634260.0	2257236.0	3950824.0	2682508.0	3018348.0	2445299.0	2584923.0	1848321.0
25	2561269.0	2622474.0	4291424.0	2606454.0	3202402.0	2480457.0	2816542.0	1837605.0
26	2425806.0	14054831.0	21426431.0	2443031.0	24533311.0	2389871.0	18407734.0	1751339.0
27	2201257.0	7097192.0	10014289.0	2215019.0	8779867.0	2179021.0	7709557.0	1607816.0
28	2044205.0	2562326.0	3378565.0	2072218.0	2678773.0	2083025.0	2214481.0	1545973.0
29	1879602.0	1652428.0	2238482.0	1916309.0	1603092.0	1869713.0	1377559.0	1378743.0
30	1626044.0	1623990.0	2026598.0	1673743.0	1444310.0	1639527.0	1320106.0	1188171.0
31	1429918.0	1659833.0	1724657.0	1501609.0	1258961.0	1470340.0	1318891.0	1061275.0
32	1227719.0	1712690.0	1653619.0	1370863.0	1172042.0	1344848.0	1337848.0	969940.0
33	962617.0	1733161.0	1594793.0	1237170.0	1040904.0	1203595.0	1303957.0	869411.0
34	836642.0	1107501.0	1186913.0	1118835.0	787731.0	1087661.0	852547.0	781581.0
35	825120.0	849661.0	933522.0	993747.0	633865.0	970721.0	683248.0	713975.0
36	779689.0	672596.0	786494.0	871983.0	517463.0	852428.0	510788.0	611052.0
37	703356.0	526454.0	702060.0	752338.0	455861.0	738691.0	423215.0	516473.0
38	599879.0	335039.0	883960.0	624108.0	415505.0	618090.0	436122.0	419878.0
39	472262.0	148996.0	370693.0	489151.0	176343.0	483519.0	171863.0	322185.0
40	342186.0	60997.0	175610.0	343507.0	80084.0	341439.0	75242.0	231369.0
41	223212.0	42398.0	75824.0	217490.0	49034.0	216566.0	43910.0	151501.0
42	119015.0	26594.0	38136.0	109960.0	27369.0	109443.0	32181.0	79791.0
43	47825.0	14178.0	20444.0	40345.0	15055.0	40242.0	17384.0	31196.0
44	15336.0	7666.0	10515.0	14271.0	7895.0	11278.0	23679.0	9599.0
45	5422.0	9636.0	6289.0	35583.0	5868.0	3502.0	174253.0	3465.0
46	1894.0	1648.0	2693.0	2584.0	1706.0	967.0	10424.0	935.0
47	1.0		1.0	3.0			45.0	
48	2.0		3.0	39.0	12.0	1.0	258.0	
49	189.0		258.0	627.0	293.0	125.0	655.0	
