	AM-ribo_S1_L002_R1_001	AM-ribo_S1_L001_R1_001	AM-ribo_S1_L004_R1_001	AM-ribo_S1_L003_R1_001	AM-RNA_S2_L001_R1_001	AM-RNA_S2_L002_R1_001	AM-RNA_S2_L004_R1_001	AM-RNA_S2_L003_R1_001
49							1.0	1.0
50					1.0			2.0
51					1.0	4.0	2.0	1.0
54						2.0		
55	6.0	1.0	8.0			3.0	3.0	3.0
56	61.0	80.0	44.0	77.0	30.0	18.0	12.0	21.0
57	2803.0	2485.0	2046.0	2122.0	371.0	431.0	313.0	291.0
58	8715527.0	8792528.0	8770265.0	8851456.0	2134618.0	2103373.0	2131183.0	2148936.0
59	4759296.0	4801353.0	4801566.0	4845518.0	4310207.0	4244410.0	4295647.0	4331943.0
60	11118233.0	11215693.0	11202473.0	11295516.0	9702913.0	9572954.0	9680944.0	9754398.0
61	32816602.0	33073954.0	32779511.0	33059244.0	13067152.0	12901907.0	13019987.0	13126261.0
