	WTrep1.ribo.sam	WTrep2.ribo.sam	RIBOTrep1.ribo.sam	RIBOTrep2.ribo.sam	WTrep1.rna.sam	WTrep2.rna.sam	RIBOTrep1.rna.sam	RIBOTrep2.rna.sam
15	70837.0	67114.0	63475.0	62838.0	21221.0	19526.0	22316.0	12552.0
16	138873.0	113846.0	115607.0	135277.0	32930.0	30358.0	35367.0	19643.0
17	225787.0	185486.0	176100.0	212169.0	55025.0	48318.0	60836.0	32655.0
18	317204.0	265475.0	236280.0	293469.0	108572.0	84619.0	115135.0	59021.0
19	537928.0	476882.0	378399.0	518682.0	223344.0	163682.0	229176.0	114744.0
20	866160.0	867948.0	612862.0	859670.0	383101.0	294752.0	413125.0	204854.0
21	1375213.0	1192832.0	890563.0	1147537.0	780683.0	495523.0	835977.0	469569.0
22	1728666.0	1279934.0	1100620.0	1178962.0	1818918.0	1138901.0	1671210.0	1178375.0
23	2409208.0	1753362.0	1536950.0	1393271.0	2402016.0	1963774.0	2333944.0	1610383.0
24	3456353.0	2681180.0	2285958.0	1939625.0	2467738.0	2300992.0	2465493.0	1685246.0
25	3711435.0	2794919.0	2452529.0	2251887.0	2399445.0	2329457.0	2394028.0	1676619.0
26	20850241.0	24059686.0	18009305.0	13645621.0	2292525.0	2260781.0	2268527.0	1625747.0
27	9641718.0	8466364.0	7459794.0	6811249.0	2098647.0	2071019.0	2076191.0	1512775.0
28	3079661.0	2227783.0	2013746.0	2247902.0	1952045.0	1931457.0	1941341.0	1422850.0
29	2079625.0	1467400.0	1278056.0	1513620.0	1798495.0	1783653.0	1798783.0	1305247.0
30	1908886.0	1356958.0	1246217.0	1519403.0	1564377.0	1573033.0	1577323.0	1130576.0
31	1616602.0	1176928.0	1246337.0	1556154.0	1367448.0	1401121.0	1403967.0	1003295.0
32	1515331.0	1050547.0	1239276.0	1575658.0	1164940.0	1274023.0	1273849.0	912490.0
33	1457295.0	937074.0	1206391.0	1596783.0	901075.0	1131625.0	1142124.0	811880.0
34	1059700.0	695553.0	773432.0	989928.0	776736.0	1015791.0	1026384.0	725229.0
35	814962.0	544157.0	608811.0	743553.0	772677.0	909194.0	912424.0	661955.0
36	679514.0	439121.0	447119.0	582138.0	728200.0	792344.0	795729.0	561623.0
37	614610.0	393930.0	375274.0	454870.0	656056.0	683267.0	682121.0	472505.0
38	810222.0	364178.0	389658.0	273349.0	557403.0	568130.0	560510.0	379829.0
39	309369.0	132983.0	126995.0	90385.0	436957.0	440751.0	435184.0	289541.0
40	134268.0	48099.0	49535.0	27975.0	317602.0	311210.0	306167.0	208335.0
41	43423.0	17935.0	16334.0	13001.0	205984.0	195427.0	191256.0	135682.0
42	17738.0	10055.0	9268.0	8079.0	109225.0	97153.0	94082.0	71080.0
43	9066.0	5862.0	5459.0	4881.0	43435.0	34856.0	33423.0	27282.0
44	5184.0	3142.0	2855.0	2684.0	13691.0	9337.0	8902.0	8108.0
45	3067.0	1447.0	1398.0	1483.0	4531.0	2488.0	2232.0	2382.0
46	1539.0	527.0	517.0	598.0	1596.0	569.0	544.0	667.0
49	46.0	22.0	33.0		93.0	15.0	43.0	
